Name,Type,km/s,MB,Diam kpc,SGX,SGY,SGZ,Log Lum
0040-22,10,388,-3.23,2.5,0.3,-4.4,-0.3,7.9
N  244,13,995,-2.03,3.7,2.2,-11.4,-0.4,8.85
U  477,9,2843,7.17,25.9,24.8,-25,4.4,9.85
0043-11,9,1688,-1,13,5.2,-19.5,-0.4,9.12
N  247,7,190,-3.71,10.6,0.2,-2.1,-0.1,9.38
N  254,-2,1425,-6.53,11.5,-1.3,-16.9,-1.9,9.6
N  253,5,260,-5,16.5,0.1,-3,-0.3,10.2
0045-10,5,1423,-0.94,10.8,4.8,-16.1,-0.3,0
N  255,4,1674,-1.39,19.9,5.2,-19.3,-0.5,9.9
0047-21,10,331,-4.4,1.9,0.4,-3.7,-0.3,0
0048-66,7,1513,-13.87,7.4,-12,-14.6,-4.7,0
N  274,-2,1820,-0.96,10.9,7.3,-20.6,-0.4,9.79
N  275,6,1822,-0.98,9,7.3,-20.6,-0.4,9.78
0049-01,13,1500,0.5,0,7.6,-16.2,0.2,8.78
N  278,3,883,11.98,11,11.1,-3.4,2.5,10.04
0049-00,13,1800,0.58,0,9.4,-19.5,0.2,8.98
N  289,4,1614,-7.6,45.3,-1.3,-19.2,-2.6,10.17
0051-73,10,-30,-14.8,7.5,0,0,0,8.63
N  300,7,97,-9.48,6.7,-0.2,-1.2,-0.2,8.94
U  608,8,3000,10.94,22.7,36.6,-10.8,7.4,9.73
N  337,7,1729,-3.2,17.5,6.9,-19.5,-1.2,10.16
0057-33,-5,162,-9.63,1.1,0,-0.1,0,0
U  625,4,2852,10.56,39.9,34.8,-10.4,6.8,10.65
U  634,9,2347,0.53,15.1,16.2,-23.8,0.3,9.43
0059-07,8,1161,-3.61,25.6,4.6,-12.9,-0.9,0
N  357,0,2622,-3.7,20.6,11.4,-29.9,-2.1,10.13
U  668,10,-125,-1.78,3.8,0.3,-0.6,0,7.91
0102-06,7,1172,-4.1,17.3,5,-12.9,-1,9.79
N  406,3,1334,-15.76,11.6,-11.3,-12.3,-4.7,9.91
U  711,5,2088,-2.84,19.2,12.3,-22.1,-1.3,9.68
N  404,-2,178,6.22,4.8,2.1,-1.1,0.3,8.64
U  731,10,875,9.39,9.6,11.3,-2.9,1.9,0
U  750,13,2647,-4.21,10.4,14.7,-28.9,-2.4,9.66
N  428,9,1260,-4.06,18.7,7.1,-13.1,-1.1,9.85
N  450,6,1853,-5.18,21.6,10.1,-19.8,-2,9.98
N  470,4,2481,-5.03,25.8,15.8,-25.9,-2.7,10.21
N  473,0,2406,-1.34,20,20.7,-21.4,-0.7,10.1
N  474,-2,2636,-5.1,109.1,16.9,-27.6,-2.9,10.44
U  871,10,2294,-4.5,17.2,15.6,-23.2,-2.2,0
U  891,9,785,-2.83,7.4,6.1,-7.2,-0.5,8.41
N  488,3,2380,-5,44.5,16,-24.3,-2.6,10.74
N  493,5,2436,-6.28,29.7,14.5,-25.9,-3.3,10.16
N  514,5,2615,-3.34,36,21.2,-24.4,-1.9,10.29
N  520,13,2271,-6.07,31.7,14.7,-23.4,-2.9,10.28
N  524,-2,2596,-4.5,30,19.6,-25.3,-2.5,10.66
0123-06,5,2033,-9.13,15.1,9.4,-22.4,-3.9,0
U 1072,-2,900,-8.7,5.3,4.9,-9.3,-1.6,8.68
N  578,5,1622,-13.94,28.5,2.1,-18.8,-4.7,10.23
N  584,-5,1931,-10.56,23.9,8.7,-21.3,-4.3,10.46
U 1102,13,2086,-7.77,12.7,13.9,-21.1,-3.4,9.44
N  596,-5,1962,-10.98,22.2,8.8,-21.6,-4.5,10.28
N  600,7,1895,-11.1,30.1,8.4,-20.8,-4.4,9.75
N  598,6,3,-0.13,10.8,0.6,-0.4,0,9.52
N  613,4,1449,-16.02,25,-0.1,-16.8,-4.8,10.4
U 1133,10,2067,-8.45,24.3,13.8,-20.8,-3.7,0
N  615,3,1910,-11.58,22.9,8.5,-21,-4.6,10.27
N  625,9,317,-17.72,4.4,-0.8,-3.6,-1.2,8.73
N  628,5,798,-5.4,20.7,6.8,-6.9,-0.9,10.32
N  636,-5,1990,-12.59,15.5,8.9,-21.8,-5.3,10.08
U 1176,10,770,-6.16,12.5,6.5,-6.5,-1,0
U 1195,10,895,-7.27,8.5,7.3,-7.8,-1.4,9.26
U 1197,10,2942,-5.93,17.2,27,-24.8,-3.8,9.64
N  660,1,982,-7.51,20,8,-8.6,-1.5,10.02
0140+19,10,648,-5.57,5.6,6,-5.2,-0.8,0
0142-43,10,293,-19.71,4.3,-0.9,-3.3,-1.2,0
U 1249,9,506,-4.03,11.6,5.3,-3.6,-0.5,9.24
0144-58,10,2055,-20.03,15.2,-12.6,-21,-8.9,0
N  672,6,592,-4.05,12.3,6.2,-4.1,-0.5,9.65
N  685,5,1223,-20.38,16.9,-5.9,-13,-5.3,9.8
0146-12,9,1644,-15.98,17.3,5.8,-18.1,-5.4,9.33
N  676,0,1601,-11.27,21.6,11.2,-15.5,-3.8,10.45
U 1276,8,2895,-6.64,19.1,27.7,-23.1,-4.2,10.03
0146-10,6,2021,-15.62,18,8.2,-22.2,-6.6,0
N  681,2,1779,-15.7,17.6,7,-19.5,-5.8,9.86
U 1281,8,343,-2.63,4.4,4,-2.2,-0.2,8.79
0147-13,10,1739,-16.36,11,6,-19.2,-5.9,8.73
N  691,5,2807,-6.6,36,27.3,-21.9,-4.1,10.49
N  701,5,1869,-15.99,15.9,7.7,-20.4,-6.2,9.89
N  720,-5,1676,-17.37,23.7,5.5,-18.5,-6,10.34
N  718,1,1755,-12.79,15.6,11.9,-17.2,-4.7,9.9
0153+05,13,900,-13.09,1.3,6.2,-8.5,-2.4,8.42
N  755,3,1669,-17.11,16.4,7.1,-17.9,-5.9,0
0154-12,8,1877,-17.92,14,7,-20.5,-7,0
N  746,10,915,0.35,8.3,11.8,-3.5,0.1,9.37
N  770,1,2583,-9.45,11.3,24.2,-20.8,-5.3,9.69
N  772,3,2605,-9.45,63.8,24.5,-20.9,-5.4,10.91
N  779,3,1435,-17.15,16.2,7,-15,-5.1,10.2
N  784,8,362,-6.33,6.7,4,-2.4,-0.5,8.98
U 1546,5,2499,-10.47,12.8,23.3,-20,-5.7,9.46
U 1547,10,2788,-9.26,23.6,27.5,-21,-5.6,9.65
U 1551,8,2817,-8.57,28.1,28.6,-20.4,-5.3,10.21
N  803,5,2214,-11.46,23.4,19.8,-18.5,-5.5,10.04
U 1561,10,740,-8.63,4.3,7.5,-5.3,-1.4,8.52
0202-06,8,1397,-18.36,13.2,6.8,-14.5,-5.3,0
N  821,-5,1874,-14.23,23,15.2,-16.6,-5.7,10.28
U 1670,9,1690,-16.19,15.1,12.4,-15.5,-5.8,8.9
N  864,5,1633,-17.51,25.1,11.8,-15,-6,10.27
U 1807,10,815,-4.36,8.3,10.4,-3.1,-0.8,0
N  895,6,2309,-22.33,30,11.9,-23.5,-10.8,10.24
N  891,3,712,-4.76,26.6,9.1,-2.8,-0.8,10.18
N  899,10,1524,-25.42,8.1,3.1,-16.5,-8,0
0219-20,9,1546,-25.43,6,3.1,-16.7,-8.1,0
U 1839,8,1567,-21.21,11.2,9.5,-15.1,-6.9,8.96
N  907,7,1683,-25.66,9,3.4,-18.2,-8.9,0
N  908,5,1466,-25.75,26.5,2.8,-15.8,-7.8,10.51
U 1865,9,742,-7.97,9.4,9,-3.7,-1.4,8.68
N  918,5,1625,-15.48,20.2,15.3,-12.3,-5.4,9.97
0223-21,9,1510,-26.44,9.7,2.9,-16.2,-8.2,9.15
0223-10,9,2091,-24.48,19.5,9,-21.6,-10.7,0
0224-24,8,1459,-26.88,13,1.9,-15.7,-8,0
N  925,7,710,-9.49,29.6,8.4,-3.8,-1.5,10.06
N  936,-2,1392,-22.59,29.6,8.3,-13.3,-6.5,10.22
N  941,6,1660,-22.8,18.5,9.9,-15.9,-7.9,9.66
N  949,7,774,-8.55,9.9,9.5,-3.6,-1.5,9.33
N  955,3,1566,-23.27,14,9.4,-14.9,-7.6,9.82
0228-04,9,1648,-24.05,19.5,9,-16.1,-8.2,0
N  959,9,767,-9.56,7.1,9.2,-3.8,-1.7,9.19
U 2014,10,737,-8.19,6.4,9.2,-3.2,-1.4,0
U 2017,10,1157,-12.64,10.8,12.7,-6.9,-3.2,0
U 2023,10,763,-10.65,8.8,9,-4,-1.9,9.08
U 2034,10,752,-7.47,9.8,9.6,-3.1,-1.3,9.05
N  972,2,1677,-12.71,22.5,18.5,-9.7,-4.7,10.27
U 2053,10,1173,-12.55,9.7,13.1,-6.8,-3.3,8.69
N  986,2,1868,-28.83,21.7,-3.5,-20,-11.2,10.26
0232+59,-5,224,1.44,2.5,3.6,0,0.1,0
N  988,5,1504,-26.54,18.2,6.6,-15,-8.2,0
N  991,5,1541,-26.07,17,7.4,-15.2,-8.3,9.86
U 2080,6,1074,-8.66,23.2,13.3,-4.5,-2.1,9.81
U 2082,5,834,-14.82,13.7,8.9,-5.4,-2.7,9.61
N 1015,1,2655,-25.15,30,16.1,-25.2,-14.1,10.31
N 1022,1,1506,-26.68,13.5,7.4,-14.7,-8.3,9.87
N 1003,6,794,-8.22,17.5,10.1,-3.1,-1.5,9.64
N 1012,13,1123,-13.3,12.6,12.6,-6.3,-3.3,9.63
0236-61,10,329,-25.94,6,-2.3,-3.3,-2,0
0236-27,-2,1345,-29.96,9.1,0.9,-14.2,-8.2,9.34
N 1035,5,1232,-27.26,7.4,5.7,-12.1,-6.9,9.66
N 1023,-2,787,-9.3,19.9,9.8,-3.3,-1.7,10.26
0237-34,-5,-51,-30.18,0.5,0,-0.1,-0.1,6.6
N 1036,13,889,-18.32,5.6,8.6,-6.3,-3.5,9.01
U 2162,10,1226,-24.92,8.8,7.9,-11.1,-6.3,0
N 1042,6,1371,-27.53,21,6.3,-13.4,-7.7,10.16
0238-06,10,1336,-27.02,9,6.7,-12.9,-7.4,0
0238+59,4,209,0.8,4,3.4,0,0,0
N 1051,9,1300,-27.35,9.7,6.3,-12.6,-7.3,0
N 1052,-5,1456,-27.66,13,6.7,-14.2,-8.2,10.12
N 1055,3,1030,-25.5,22.4,6.5,-9.4,-5.4,9.98
N 1068,3,1176,-25.84,33.2,7.3,-10.7,-6.3,10.75
N 1058,5,676,-10.63,9.8,8.4,-3,-1.7,9.34
N 1073,5,1242,-25.66,22.6,8,-11.1,-6.6,9.97
N 1079,0,1377,-31.05,24.7,0.4,-14.4,-8.7,9.72
N 1084,5,1401,-28.68,15,6.7,-13.5,-8.2,10.3
N 1087,5,1545,-26.89,18.3,9.5,-14,-8.6,10.28
N 1090,5,2786,-26.84,29.6,17.6,-25.7,-15.7,10.4
N 1097,3,1181,-31.65,37.7,0.1,-12.4,-7.6,10.51
U 2259,8,742,-11.33,8.2,9.2,-3.2,-2,8.95
U 2275,9,1061,-25.87,21.8,7.4,-9.2,-5.7,9.1
U 2302,9,1133,-26.72,23.7,7.5,-10,-6.3,8.92
N 1110,10,1325,-29.53,10,6.3,-12.7,-8,0
0246-02,10,1103,-28.2,5.9,6.3,-10.1,-6.4,0
0248+04,12,1026,-26.41,1.8,7.2,-8.7,-5.6,8.6
U 2345,9,1521,-28.37,22.5,9.2,-13.7,-8.9,0
N 1140,10,1484,-31.32,8,6.4,-14.2,-9.5,9.7
N 1145,5,1911,-32.76,16.5,4.8,-19.3,-12.8,0
U 2411,9,2767,8.04,45.3,36.3,9.2,5.3,0
0255-02,9,1542,-30.18,16.2,9,-13.9,-9.6,0
0255-54,7,403,-30.22,7.6,-2.2,-4.1,-2.7,9.25
N 1156,10,477,-19.62,7.1,5.3,-2.9,-2.1,9.18
U 2459,8,2640,-7.15,27.4,34.1,-4.7,-4.3,0
U 2460,4,2721,-29.02,18,18.7,-23.3,-16.6,10.02
U 2463,9,2051,-12.02,22.7,25.3,-6.9,-5.6,9.73
N 1172,-5,1485,-33.9,11.2,4.9,-14.3,-10.2,9.59
N 1169,3,2564,-9.05,53.1,32.8,-5.7,-5.3,10.72
N 1179,6,1716,-34.67,31,4.2,-16.9,-12.1,10.05
N 1187,5,1314,-35.02,24.7,2.1,-13.1,-9.3,10.1
N 1171,5,2906,-10.82,34.3,36.3,-7.9,-7.1,10.59
N 1199,-5,2528,-34.49,19.4,8.1,-24.7,-17.9,10.23
N 1201,-2,1630,-35.51,15.9,1.5,-16.4,-11.8,10.17
U 2531,8,2872,-11.72,50.2,35.7,-8.2,-7.6,10.66
N 1209,-5,2624,-35.06,22.1,8.4,-25.6,-18.9,10.34
0304-14,10,1480,-35.06,6.9,5.2,-14.1,-10.5,0
0306-23,12,2803,-36.39,16.4,4.5,-28,-20.9,0
N 1222,13,2473,-32.98,10,14.3,-21.8,-16.9,0
N 1232,5,1607,-36.51,40.3,3.4,-15.7,-11.9,10.64
0307-20,9,1702,-36.58,6.2,3.6,-16.6,-12.6,0
0307-41,7,804,-35.45,11.8,-1.9,-8,-5.9,0
0308-22,5,1244,-36.77,10.3,2.1,-12.1,-9.2,0
0308-33,10,1009,-36.67,5.9,-0.6,-10.1,-7.5,0
N 1249,6,828,-32.43,14.7,-4.2,-8,-5.7,9.61
N 1241,3,2134,-35.07,26.4,9.7,-19.5,-15.3,10.12
0310-05,13,2231,-34.57,0,11.8,-19.7,-15.8,0
N 1255,4,1600,-37.61,18.6,1.6,-15.7,-12.2,10.23
N 1253,6,1696,-34.18,28.3,9.7,-14.5,-11.9,10.08
0311-25,10,1638,-37.66,19.1,1.8,-16,-12.4,0
0311-57,12,951,-31.45,10.1,-5.6,-8.9,-6.4,0
0312-04,10,2197,-34.87,16.9,11.9,-19.2,-15.8,9.52
U 2620,9,2464,9.77,26,31.9,10.7,5.8,9.94
0314-24,10,1982,-38.19,11.6,2.6,-19.3,-15.3,0
0314+03,-3,900,-32.82,2,6.3,-7.1,-6.1,8.46
0314-35,7,1438,-37.71,14.7,-1.6,-14.2,-11,0
N 1291,0,678,-36.85,27.1,-1.6,-6.7,-5.2,10.3
N 1292,5,1261,-38.61,10.5,0.7,-12.3,-9.8,9.71
0316-26,4,1699,-38.74,14.2,1.6,-16.5,-13.3,0
0316-23,10,1440,-38.77,9.9,2,-13.8,-11.2,0
N 1282,-5,2343,-14.43,15.2,29.1,-6.3,-7.7,9.97
N 1297,-5,1475,-38.61,10.2,3.5,-13.9,-11.4,9.68
N 1300,4,1502,-38.76,35.7,3.5,-14.2,-11.7,10.36
U 2684,10,417,-27.68,3.1,4.1,-2.7,-2.6,0
0317-32,3,1161,-38.63,5.9,-0.6,-11.3,-9.1,0
N 1313,7,254,-28.2,9.5,-2.2,-2.4,-1.8,9.63
N 1302,0,1599,-39.03,21,1.5,-15.5,-12.6,10.24
0317-49,5,856,-35,12,-3.7,-8.3,-6.3,0
N 1311,9,389,-34.24,3.2,-1.9,-3.8,-2.9,0
N 1310,5,1573,-38.3,7.9,-2.1,-13.3,-10.6,0
N 1309,4,2070,-38.87,22,6.6,-19.1,-16.3,10.26
0320-11,7,2755,-38.36,24.3,11.3,-24.8,-21.5,0
N 1316,-2,1631,-38.62,25.7,-2.1,-13.3,-10.7,10.78
N 1317,0,1800,-38.66,14.8,-2.1,-13.5,-10.9,9.87
N 1315,-2,1639,-39.68,8.3,2.7,-13.6,-11.5,0
0321-19,6,1753,-39.72,11.5,4,-16.4,-14,0
0321+72,10,2284,4.78,20.2,30.6,7,2.6,0
N 1326,-2,1221,-38.99,17.3,-1.8,-12.9,-10.5,10.13
U 2729,12,2140,2.01,42.9,29,5,1,0
N 1320,2,2977,-36.79,13.2,17.1,-24.8,-22.6,0
N 1325,4,1503,-40.01,22.2,2.7,-13.4,-11.5,9.98
0322-21,3,1241,-40.07,11.4,2.7,-13.1,-11.3,9.33
0323-37,0,1922,-39.08,4.4,-2.1,-13.5,-11.1,0
0323-362,9,1694,-39.22,10.4,-1.9,-13.3,-11,0
0323-16,9,1804,-39.78,11.9,5.4,-16.5,-14.5,0
0323-363,7,870,-39.28,13.8,-1.8,-12.5,-10.3,0
N 1332,-2,1471,-40.42,6.7,2.7,-13.2,-11.5,10.22
N 1331,-5,1233,-40.47,6.2,2.6,-13,-11.3,9.02
0324-52,6,882,-34.83,6,-4.4,-8.3,-6.6,9.31
N 1337,6,1199,-39.02,17.1,5.5,-10.2,-9.4,9.94
0325-17,-5,1753,-40.56,7.7,4.8,-16,-14.3,8.97
N 1339,-5,1161,-40.43,7.7,-0.6,-11.1,-9.5,9.48
N 1341,5,1720,-39.67,6.9,-2.1,-13.2,-11.1,9.45
N 1344,-5,1107,-40.61,14.6,-0.2,-10.5,-9,9.98
N 1345,12,1444,-40.88,12.2,3.8,-13.1,-11.8,9.11
U 2765,12,1881,1.53,38.1,25.7,4.5,0.7,0
0327-15,9,1816,-40.61,14.6,5.8,-16.2,-14.8,0
N 1351,-5,1350,-40.57,10.9,-1.4,-12.8,-11,9.53
N 1350,2,1648,-40.87,21.7,-1.1,-13,-11.3,10.18
N 1353,3,1421,-41.74,15.6,2.8,-13,-11.9,9.96
0330-17,10,1876,-41.56,14.5,5,-16.9,-15.6,0
0330-52,5,892,-36,8.1,-4.3,-8.4,-6.8,9.64
N 1357,1,1964,-41.28,15.1,6.9,-17.2,-16.3,10.04
N 1359,9,1883,-42.05,15.9,4.3,-17.1,-15.9,9.99
0331-21,4,1760,-42.16,12.3,3.3,-16.1,-14.9,10
0331-50,5,455,-36.79,3.7,-2.1,-4.4,-3.6,0
N 1365,3,1492,-40.98,48.4,-1.8,-12.7,-11.2,10.7
N 1366,-2,914,-41.79,5.4,-0.2,-8.6,-7.7,9.17
N 1371,1,1360,-42.45,31,1.5,-12.5,-11.5,10.08
N 1375,-2,523,-41.45,7.9,-1.5,-11.8,-10.5,9.37
N 1374,-5,1105,-41.47,9.9,-1.5,-12.4,-11,9.73
N 1379,-5,1239,-41.59,11.8,-1.6,-12.5,-11.2,9.82
N 1380,-2,1663,-41.74,16.8,-1.5,-12.8,-11.5,10.21
N 1381,-2,1629,-41.72,9.4,-1.6,-12.8,-11.5,9.71
0334-44,3,903,-39.54,7.5,-2.8,-8.5,-7.4,0
0334-34,2,1471,-41.85,7.9,-1.4,-12.7,-11.4,0
U 2800,10,1385,3.07,19.9,19.5,4.3,1.1,0
N 1386,-2,696,-41.64,11.8,-1.7,-11.9,-10.7,9.81
N 1387,-2,1091,-41.76,12.3,-1.6,-12.3,-11.1,9.85
0335-35,-2,1778,-41.82,6.4,-1.6,-12.9,-11.7,9.33
N 1385,6,1390,-43.01,21,1.6,-12.7,-11.9,10.1
N 1389,-5,927,-41.75,9.9,-1.7,-12.1,-10.9,9.69
0335+66,12,1697,-0.16,14.6,23.5,3.8,-0.1,0
N 1395,-5,1586,-43.28,22.2,2.4,-14.3,-13.7,10.33
N 1399,-5,1294,-42.07,16.3,-1.6,-12.4,-11.3,10.31
N 1398,2,1281,-43.29,32.9,1,-11.7,-11.1,10.42
N 1404,-5,1759,-42.12,13.3,-1.7,-12.7,-11.6,10.17
N 1411,-2,867,-39.88,6.9,-2.7,-8.2,-7.2,9.61
N 1401,-2,1461,-43.48,10.2,2.3,-13.1,-12.6,0
N 1400,-2,389,-43.36,3.7,1,-3.5,-3.4,8.81
N 1406,5,931,-42.96,8.3,-0.3,-8.6,-8.1,9.58
U 2813,10,1611,2.86,18.1,22.3,5,1.1,0
N 1407,-5,1716,-43.52,27.1,4.2,-15.1,-14.9,10.6
0338-35,10,1879,-42.37,11.8,-1.8,-12.9,-11.9,0
N 1415,0,1399,-43.85,17.6,2.2,-12.5,-12.2,9.73
U 2824,13,2722,6.46,69.7,35.5,10.6,4.2,10.78
0338-45,10,1389,-39.76,9.9,-4.7,-12.8,-11.4,0
N 1421,4,2021,-43.48,18.6,7.1,-17.1,-17.5,10.64
N 1425,3,1376,-43.74,29,0,-12.6,-12,10.14
N 1427,-5,1416,-42.84,9.9,-1.7,-12.4,-11.5,9.87
N 1433,1,889,-39.34,19.6,-3.4,-8.3,-7.3,10.06
N 1428,-2,77,-42.91,5.9,-1.4,-11.2,-10.4,0
N 1426,-5,1332,-44.26,10.8,2.2,-11.9,-11.8,9.73
0341-36,9,741,-42.8,9.9,-1.8,-11.7,-10.9,0
N 1437,1,1022,-43,12.8,-1.8,-12,-11.3,9.77
U 2847,6,229,0.34,31.8,3.8,0.7,0,10.82
N 1439,-5,1560,-44.73,13.2,2.7,-13.8,-13.9,9.77
N 1440,-2,1437,-44.63,11.2,3.6,-12.4,-12.8,9.7
N 1448,6,1000,-40.67,21.5,-3.3,-9.2,-8.4,10.16
N 1452,0,1805,-44.73,18.6,4.4,-15.6,-16.1,9.82
U 2855,5,1410,1.7,31.4,19.8,4.3,0.6,10.44
0344-35,9,1777,-43.74,16.8,-1.6,-12.6,-12.1,0
N 1461,-2,1356,-45.28,11.5,3.9,-11.4,-12.2,9.6
0346-80,7,1406,-22.17,10,-14.6,-10,-7.2,0
N 1473,7,1118,-29.68,6.1,-9.3,-9.2,-7.4,0
0347-27,5,1404,-45.61,14,0.8,-12.4,-12.7,0
0347-49,7,787,-39.77,8.1,-3.4,-7.2,-6.6,0
0349-38,10,715,-43.91,4.9,-1.4,-6.5,-6.4,0
0350-71,7,1206,-27.78,19,-10.8,-9.5,-7.6,0
N 1483,4,954,-40.9,4.4,-3.8,-8.6,-8.2,0
0352-49,10,1391,-40.38,9.5,-5.9,-12.3,-11.6,0
0352-36,-5,1223,-45.03,7.8,-1.8,-10.9,-11.1,9.68
N 1482,1,1542,-47.01,10.9,3,-13,-14.3,0
N 1487,9,677,-43.38,6,-2,-6.1,-6.1,9.24
0355+66,9,262,-1.21,1.9,4.3,0.8,-0.1,0
N 1493,6,870,-42.17,12.9,-3.3,-7.8,-7.6,9.58
N 1494,4,928,-41.02,10,-4,-8.3,-8,9.6
0357-46,10,712,-42.59,5.8,-2.7,-6.4,-6.4,0
N 1511,5,1127,-30.94,14.6,-9.3,-9.1,-7.8,9.95
N 1507,9,810,-45.89,9,4.7,-5.7,-7.6,9.52
N 1510,-5,782,-44.3,19.5,-2.5,-6.9,-7.2,8.82
N 1512,1,725,-44.39,29.1,-2.3,-6.4,-6.7,9.8
U 2953,2,1092,0.35,32.6,15.8,3.7,0.1,10.56
N 1515,1,961,-39.32,15.7,-5.6,-8.7,-8.5,9.98
0403-17,10,1777,-49.55,13.3,4.4,-14.1,-17.3,0
N 1518,8,810,-49.86,8.6,1.4,-6.6,-8,9.45
0404-17,9,1754,-49.8,13.7,4.5,-13.8,-17.1,0
0405-55,10,851,-39.01,5.9,-5.8,-8.4,-8.3,0
N 1527,-2,832,-43.07,9.3,-3.5,-7.3,-7.5,9.44
0407-45,-5,1264,-44.31,5.3,-4.6,-10.8,-11.5,9.75
N 1533,-2,576,-38.88,9.4,-5.8,-8.1,-8.1,9.7
N 1536,5,1377,-38.8,7.8,-6.3,-8.8,-8.7,9.22
N 1531,-5,998,-49.41,4.9,-0.9,-8.4,-9.9,9.3
N 1532,2,1047,-49.42,48.8,-0.9,-8.8,-10.3,10.2
N 1537,-3,1181,-50.05,13.8,-0.8,-9.8,-11.7,9.91
N 1543,-2,1183,-38.24,10.2,-6.4,-8.5,-8.4,9.82
N 1546,-2,974,-39.45,10.2,-6,-8.4,-8.5,9.45
N 1549,-5,937,-39.86,10.2,-5.9,-8.3,-8.6,10.1
N 1553,-2,1064,-39.8,15.3,-6,-8.4,-8.6,10.26
0415-60,-2,907,-37.08,6.5,-6.3,-7.5,-7.4,9.41
0416-56,7,1152,-39.89,7.4,-6.1,-8.4,-8.7,0
N 1559,6,1068,-35.51,12.5,-7.9,-8.6,-8.3,10.24
N 1530,3,2661,3.95,51.3,34.8,11,2.5,10.72
N 1566,4,1262,-40.74,31.3,-6,-8.5,-9,10.37
0419-21,7,768,-53.16,14.5,1.1,-5.9,-8.1,0
N 1574,-2,669,-39.7,13.7,-6.1,-7.9,-8.3,9.93
0421-63,9,1072,-35.33,5.9,-8.2,-8.5,-8.4,0
N 1569,10,87,-4.93,1.9,1.6,0.3,-0.1,8.74
N 1596,-2,1252,-41.54,10.2,-6.1,-8.4,-9.1,9.69
N 1560,7,164,0.78,6.2,2.9,0.8,0,8.74
0427+63,10,66,-6.04,1.2,1.5,0.3,-0.2,0
N 1617,1,818,-42.27,13.3,-5.8,-7.8,-8.9,10.08
0430-49,5,1641,-45.4,11.3,-7.8,-12.9,-15.3,0
N 1625,3,2953,-53.89,17.9,15.4,-16.5,-30.9,10.4
0435-52,9,1421,-44.43,7.7,-7.6,-11.1,-13.2,0
U 3130,3,2683,3.49,31.3,35,11.9,2.3,10.21
N 1637,5,639,-54.7,13,3.6,-3.7,-7.2,9.52
U 3137,3,1193,4.1,15.7,16.9,5.9,1.3,9.5
N 1640,3,1452,-58.15,17.8,2.2,-9.8,-16.2,9.78
0440-08,9,2414,-56.85,17.4,10.1,-13.9,-26.3,0
U 3144,10,1830,2.76,16,24.7,8.3,1.3,9.5
N 1672,3,1077,-40.41,24.1,-7.5,-8.2,-9.4,10.13
